url,path,alt,imageable_type,product_uuid,created_at,updated_at
http://127.0.0.1:8000/storage/produits/MMmd6qrMcofxrXqksH16mQr5F7QQimYubUPrDOiE.png,produits/MMmd6qrMcofxrXqksH16mQr5F7QQimYubUPrDOiE.png,Routeur 4G/5G Huawei AR502H,PRODUIT,5e0d04e3-4908-47c2-be23-46029c348b64,2026-04-08 10:43:31,2026-04-08 10:43:31
http://127.0.0.1:8000/storage/produits/rvd08yYilG1ealprgdZMx31isD2FfCY1652QFVsd.webp,produits/rvd08yYilG1ealprgdZMx31isD2FfCY1652QFVsd.webp,TPE Verifone VX680,PRODUIT,b2e60676-84b2-4920-8cd6-684cd36ac7a5,2026-04-08 15:24:35,2026-04-08 15:24:35
