id_image,url,path,alt,imageable_type,imageable_id,created_at,updated_at
22,http://127.0.0.1:8000/storage/produits/MMmd6qrMcofxrXqksH16mQr5F7QQimYubUPrDOiE.png,produits/MMmd6qrMcofxrXqksH16mQr5F7QQimYubUPrDOiE.png,Routeur 4G/5G Huawei AR502H,PRODUIT,103,2026-04-08 10:43:31,2026-04-08 10:43:31
403,http://127.0.0.1:8000/storage/produits/rvd08yYilG1ealprgdZMx31isD2FfCY1652QFVsd.webp,produits/rvd08yYilG1ealprgdZMx31isD2FfCY1652QFVsd.webp,TPE Verifone VX680,PRODUIT,37,2026-04-08 15:24:35,2026-04-08 15:24:35
